Group,Subject,e1_H,e1_L,e2_H,e2_L,e3_H,e3_L,e4_H,e4_L,e1_SL,e2_SL,e3_SL,e4_SL
0,5,479.0,477.5,452.0,472.0,432.5,445.0,431.0,429.0,-1.5,20.0,12.5,-2.0
0,7,430.5,448.0,419.5,405.0,444.0,433.0,466.5,471.5,17.5,-14.5,-11.0,5.0
0,11,395.0,365.0,374.0,392.0,376.0,404.5,377.5,396.0,-30.0,18.0,28.5,18.5
0,12,455.5,481.0,442.0,462.0,399.0,406.0,369.0,395.0,25.5,20.0,7.0,26.0
0,31,465.0,475.0,449.0,430.0,410.0,429.0,391.5,415.0,10.0,-19.0,19.0,23.5
0,32,581.0,586.5,556.0,567.0,509.0,515.5,452.0,456.0,5.5,11.0,6.5,4.0
0,33,431.0,446.5,394.0,412.0,378.0,403.5,375.5,391.0,15.5,18.0,25.5,15.5
0,36,868.5,843.0,796.0,783.0,658.0,683.0,540.5,533.5,-25.5,-13.0,25.0,-7.0
0,37,476.0,485.0,454.0,462.0,396.0,403.5,381.0,396.0,9.0,8.0,7.5,15.0
0,50,872.0,864.0,831.0,846.0,811.0,824.0,811.0,833.0,-8.0,15.0,13.0,22.0
0,54,941.0,1027.0,780.5,778.5,634.0,654.0,596.0,667.5,86.0,-2.0,20.0,71.5
0,60,779.0,785.0,650.0,652.0,575.0,638.0,569.5,589.0,6.0,2.0,63.0,19.5
0,102,613.0,605.0,553.5,561.0,483.5,485.0,535.0,554.0,-8.0,7.5,1.5,19.0
0,106,798.0,803.5,797.0,814.0,563.0,574.5,536.0,536.0,5.5,17.0,11.5,0.0
1,1,945.5,947.0,794.0,777.0,809.5,808.0,912.0,915.5,1.5,-17.0,-1.5,3.5
1,2,736.0,710.5,569.0,555.0,478.0,504.5,485.0,482.0,-25.5,-14.0,26.5,-3.0
1,3,848.5,797.0,807.0,822.0,792.0,823.0,831.0,838.5,-51.5,15.0,31.0,7.5
1,5,573.0,603.5,504.0,536.0,475.0,501.0,444.5,460.0,30.5,32.0,26.0,15.5
1,6,1065.0,1063.5,946.5,965.0,896.5,935.0,864.0,862.0,-1.5,18.5,38.5,-2.0
1,7,847.0,860.5,630.0,630.0,553.0,596.0,583.0,616.5,13.5,0.0,43.0,33.5
1,8,855.5,857.0,784.0,816.5,737.5,780.5,745.0,778.0,1.5,32.5,43.0,33.0
1,9,744.0,758.0,701.0,723.5,680.0,730.5,656.0,725.5,14.0,22.5,50.5,69.5
1,14,915.0,959.5,884.5,910.0,825.5,849.0,726.5,637.0,44.5,25.5,23.5,-89.5
1,15,570.0,592.0,657.0,641.5,817.0,897.0,644.5,749.5,22.0,-15.5,80.0,105.0
1,41,1149.0,1163.0,968.0,989.0,488.0,540.0,1017.0,1003.0,14.0,21.0,52.0,-14.0
1,42,705.0,743.0,574.0,686.5,817.0,796.0,811.0,868.0,38.0,112.5,-21.0,57.0
1,45,509.0,525.0,468.0,468.0,434.0,469.5,451.5,447.0,16.0,0.0,35.5,-4.5
